#_avanzadas,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
77,ELIAS VALTONEN,GRA,0.615,0.612,157.0,5.1,13.2,8.8,5.9,7.2,2.6,1.3,15.5,-0.4,1.3,119.6,107.2,12.4,43.6,14.4,76,7,166.3,63,24,49,0.49,12,25,0.48,3,5,0.6,7,15,22,5,8,2,4,20,,,,,,,,,,,,,,,,,,,,
38,EMANUEL CATE,MAN,0.66,0.588,151.7,21.1,19.3,20.1,4.3,21.5,1.2,0.8,17.1,-6.7,1.6,120.5,101.9,18.6,51.8,18.4,98,8,129.1,53,20,34,0.588,0,1,0.0,13,14,0.929,23,22,45,3,3,1,11,12,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.103,0.3,0.3,0.4,4.0,4.0,0.5,0.3,0.3,0.6
46,EMIR SULEJMANOVIC,ZAR,0.585,0.567,168.1,7.6,26.2,16.6,1.3,9.8,2.8,0.8,20.7,-3.9,1.3,115.9,114.0,1.9,46.5,17.6,68,5,132.3,65,25,52,0.481,9,20,0.45,6,8,0.75,8,26,34,1,7,1,6,14,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.158,0.2,1.2,0.2,2.0,3.0,0.4,0.3,0.1,0.3
128,ERIC VILA,BRE,0.483,0.469,131.0,7.0,15.2,10.8,7.8,13.1,1.8,1.6,19.2,-2.7,1.1,94.5,111.3,-16.8,29.6,10.2,104,8,147.0,51,19,48,0.396,7,19,0.368,6,11,0.545,9,17,26,6,5,2,8,16,,,,,,,,,,,,,,,,,,,,
2,FACUNDO CAMPAZZO,RMB,0.792,0.73,194.3,2.4,12.6,8.2,37.7,23.2,3.8,0.0,22.0,4.0,2.1,139.2,102.8,36.4,97.4,27.3,15,8,188.4,105,31,50,0.62,11,24,0.458,32,37,0.865,3,21,24,41,13,0,20,18,,,,,,,,,,,,,,,,,,,,
27,FERRAN BASSAS,AND,0.728,0.714,179.0,0.0,4.2,2.4,37.7,23.0,1.3,0.0,22.9,3.7,1.6,127.6,120.5,7.1,29.9,19.6,119,5,78.8,44,15,28,0.536,10,22,0.455,4,5,0.8,0,3,3,18,2,0,9,9,,,,,,,,,,,,,,,,,,,,
1,FRAN GUERRA,TEN,0.673,0.63,137.2,14.9,20.7,17.8,18.7,10.6,0.8,3.1,26.2,0.5,1.7,135.6,112.3,23.3,70.9,27.9,26,7,144.1,91,34,54,0.63,0,3,0.0,23,31,0.742,14,20,34,13,2,4,8,16,,,,,,,,,,,,,,,,,,,,
106,GABRIEL DECK,RMB,0.616,0.556,155.7,2.3,13.9,8.9,4.1,12.5,0.8,0.5,15.8,-2.5,1.5,118.5,108.7,9.8,40.4,12.1,62,8,194.2,69,23,45,0.511,4,14,0.286,19,25,0.76,3,24,27,5,3,1,8,15,,,,,,,,,,,,,,,,,,,,
45,GEORGE CONDITT IV,GCN,0.591,0.622,97.9,12.7,18.4,15.4,4.1,15.6,2.0,7.6,18.3,-4.6,1.4,109.2,104.6,4.6,47.8,17.8,108,8,136.3,51,23,37,0.622,0,1,0.0,5,14,0.357,14,19,33,3,5,9,8,15,,,,,,,,,,,,,,,,,,,,
132,GIAN CLAVELL,GRA,0.477,0.423,142.1,2.0,15.0,7.9,12.5,12.9,1.8,0.6,26.6,-3.2,1.1,92.5,109.9,-17.5,28.4,9.8,39,8,177.3,84,27,78,0.346,12,41,0.293,18,23,0.783,3,18,21,11,6,1,13,20,,,,,,,,,,,,,,,,,,,,
12,GIORGI SHERMADINI,TEN,0.755,0.694,155.8,10.3,13.8,12.1,9.9,16.5,1.9,1.0,22.9,-4.5,1.9,134.0,112.7,21.3,45.5,24.0,61,7,119.0,69,25,36,0.694,0,0,0.0,19,22,0.864,8,11,19,6,4,1,9,13,,,,,,,,,,,,,,,,,,,,
65,GUILLEM FERRANDO,SJG,0.561,0.5,167.3,2.2,9.4,5.7,42.8,22.5,2.4,0.0,26.6,0.6,1.3,103.7,114.0,-10.3,33.3,15.4,94,7,110.5,54,16,42,0.381,10,23,0.435,12,14,0.857,2,8,10,22,5,0,14,10,,,,,,,,,,,,,,,,,,,,
142,GUILLEM VIVES,JOV,0.514,0.522,115.3,3.7,14.7,10.0,19.7,31.1,2.8,1.5,14.5,-0.9,1.1,91.2,107.7,-16.5,26.1,8.4,152,7,122.3,25,9,23,0.391,6,14,0.429,1,3,0.333,3,16,19,15,6,2,11,15,,,,,,,,,,,,,,,,,,,,
22,HARALD FREY,BBB,0.741,0.689,187.6,0.9,9.0,5.0,26.4,13.8,1.4,0.0,20.6,3.4,1.8,138.2,115.7,22.5,52.6,20.9,42,8,149.7,83,25,45,0.556,12,25,0.48,21,25,0.84,1,11,12,21,4,0,9,25,,,,,,,,,,,,,,,,,,,,
144,HOWARD SANT-ROOS,MUR,0.383,0.314,125.5,2.9,15.4,8.6,14.8,15.7,3.4,0.7,16.6,0.6,0.9,84.6,99.9,-15.3,30.8,8.0,135,7,159.7,37,12,43,0.279,3,21,0.143,10,12,0.833,4,18,22,15,10,1,9,8,,,,,,,,,,,,,,,,,,,,
108,IKE IROEGBU,SJG,0.519,0.406,147.4,2.3,13.9,8.0,19.9,16.5,1.0,0.5,25.6,-2.4,1.3,100.3,115.8,-15.5,45.5,11.9,14,8,224.6,105,28,80,0.35,9,31,0.29,40,48,0.833,4,24,28,22,4,1,20,21,,,,,,,,,,,,,,,,,,,,
125,INGUS JAKOVICS,LBC,0.538,0.5,154.7,1.8,8.0,4.8,28.1,21.5,2.4,0.0,23.4,0.2,1.2,100.6,121.8,-21.1,29.9,10.8,82,8,135.6,59,18,50,0.36,14,38,0.368,9,11,0.818,2,8,10,23,6,0,15,19,,,,,,,,,,,,,,,,,,,,
41,JABARI PARKER,FCB,0.692,0.69,174.0,1.6,17.0,10.0,8.5,11.9,2.0,2.4,18.9,-1.2,1.5,122.5,110.7,11.8,67.3,18.1,23,8,187.4,92,34,63,0.54,19,33,0.576,5,8,0.625,2,26,28,10,7,4,9,16,,,,,,,,,,,,,,,,,,,,
71,JAIME PRADILLA,VAL,0.535,0.5,140.6,7.3,30.7,18.0,10.7,14.0,2.0,1.9,13.1,0.6,1.2,118.9,104.2,14.7,62.1,15.0,116,7,158.8,46,18,39,0.462,3,18,0.167,7,9,0.778,11,39,50,12,6,3,7,11,,,,,,,,,,,,,,,,,,,,
124,JAKE WILEY,GRA,0.521,0.478,129.6,8.4,16.5,12.1,9.9,19.1,0.7,3.8,20.5,-5.1,1.2,95.2,110.0,-14.8,30.4,10.9,95,8,143.3,53,22,46,0.478,0,2,0.0,9,11,0.818,10,16,26,7,2,5,12,16,,,,,,,,,,,,,,,,,,,,
52,JAMES NNAJI,SJG,0.667,0.72,120.0,10.1,19.3,14.6,0.0,18.2,2.8,5.5,15.5,-6.0,1.9,113.5,107.3,6.2,43.9,17.1,112,7,134.6,48,18,25,0.72,0,0,0.0,12,25,0.48,11,20,31,0,7,7,8,16,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.104,0.0,0.9,1.0,2.0,5.0,0.286,0.2,0.2,0.4
15,JAN VESELY,FCB,0.764,0.685,193.8,10.2,15.3,13.0,15.0,15.0,1.1,0.0,20.7,0.0,1.9,142.1,118.4,23.7,35.5,21.9,100,6,92.3,52,18,27,0.667,1,3,0.333,15,16,0.938,6,11,17,9,2,0,6,19,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.132,1.5,0.3,0.6,4.0,2.0,0.667,0.5,0.0,0.6
10,JEAN MONTERO,VAL,0.545,0.511,153.9,7.7,10.7,9.1,32.9,9.2,2.2,0.0,27.6,6.8,1.2,128.6,110.9,17.7,80.4,24.1,12,7,164.0,107,37,89,0.416,17,47,0.362,16,21,0.762,12,14,26,32,7,0,10,7,,,,,,,,,,,,,,,,,,,,
9,JERRICK HARDING,AND,0.625,0.58,168.2,3.1,8.3,5.9,12.1,10.6,1.7,2.1,32.0,-3.6,1.4,121.4,116.7,4.7,77.9,24.3,1,8,212.5,168,62,119,0.521,14,46,0.304,30,35,0.857,5,15,20,12,7,4,16,22,,,,,,,,,,,,,,,,,,,,
3,JILSON BANGO,ZAR,0.692,0.704,126.4,13.0,21.1,17.1,10.7,12.2,0.8,4.0,23.8,-2.6,1.7,130.3,115.6,14.7,70.4,26.7,29,8,138.6,90,38,54,0.704,0,0,0.0,14,25,0.56,14,23,37,8,2,5,9,14,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.172,0.9,0.2,0.5,4.0,4.0,0.5,0.6,0.1,0.7
92,JOAN SASTRE,TEN,0.582,0.542,166.7,2.9,13.8,8.4,11.0,7.2,2.7,0.0,13.2,2.7,1.3,125.4,112.1,13.3,26.0,13.3,144,6,105.1,30,12,24,0.5,2,12,0.167,4,4,1.0,2,10,12,7,5,0,2,8,,,,,,,,,,,,,,,,,,,,
154,JOAQUIN RODRIGUEZ,ZAR,0.378,0.378,54.7,4.5,7.8,6.2,17.4,19.6,2.3,0.0,18.1,0.3,0.8,85.7,118.0,-32.3,10.0,4.3,148,8,114.2,28,12,37,0.324,4,18,0.222,0,0,0.0,4,7,11,14,5,0,9,19,,,,,,,,,,,,,,,,,,,,
89,JOE THOMASSON,GCN,0.555,0.481,151.8,3.7,15.7,9.5,16.5,16.2,1.7,0.0,21.4,-0.8,1.3,108.1,110.7,-2.6,41.4,13.5,64,8,168.1,69,23,52,0.442,4,16,0.25,19,23,0.826,5,20,25,16,5,0,12,18,,,,,,,,,,,,,,,,,,,,
117,JOHN SHURNA,GCN,0.582,0.573,146.0,6.4,9.2,7.8,3.0,6.9,0.3,0.0,16.4,-1.2,1.3,118.1,115.6,2.5,30.8,11.3,74,8,172.1,63,23,48,0.479,9,22,0.409,8,14,0.571,9,12,21,3,1,0,4,18,,,,,,,,,,,,,,,,,,,,
104,JONAH RADEBAUGH,MUR,0.418,0.36,119.3,4.5,7.2,5.7,20.4,10.9,5.2,0.7,19.3,3.7,1.0,96.2,99.8,-3.6,35.6,12.2,111,8,155.2,48,16,50,0.32,4,24,0.167,12,17,0.706,6,8,14,19,15,1,7,17,,,,,,,,,,,,,,,,,,,,
130,JONATHAN BARREIRO,UNI,0.609,0.614,131.8,5.3,18.6,11.7,4.5,24.5,2.2,0.0,15.6,-6.1,1.4,96.3,106.0,-9.7,20.5,9.9,145,7,98.0,30,12,22,0.545,3,11,0.273,3,6,0.5,4,13,17,3,4,0,8,7,,,,,,,,,,,,,,,,,,,,
113,JONATHAN ROUSSELLE,GRA,0.375,0.306,124.9,3.9,12.3,7.7,47.5,11.3,2.7,0.0,18.4,13.4,0.8,102.8,108.6,-5.8,44.1,11.8,124,8,155.8,41,13,49,0.265,4,29,0.138,11,13,0.846,5,13,18,42,8,0,7,26,,,,,,,,,,,,,,,,,,,,
138,JORDAN DAVIS,BRE,0.409,0.4,121.1,5.4,16.0,10.4,17.0,15.9,3.9,0.0,24.4,-2.7,0.9,80.7,108.9,-28.3,19.3,9.1,132,7,107.8,39,17,45,0.378,2,6,0.333,3,6,0.5,5,13,18,9,8,0,9,13,,,,,,,,,,,,,,,,,,,,
107,JORDAN SAKHO,BRE,0.531,0.472,112.4,12.9,22.2,17.2,3.4,23.3,1.7,6.0,17.5,-7.5,1.4,94.7,107.4,-12.8,42.6,12.0,110,8,159.6,49,17,36,0.472,0,0,0.0,15,23,0.652,18,27,45,3,5,8,14,22,,,,,,,,,,,,,,,,,,,,
35,JOSEP PUERTO,VAL,0.643,0.631,159.5,6.8,11.1,8.8,5.1,6.2,2.5,0.0,16.2,-0.3,1.4,137.9,110.0,27.9,42.6,18.6,86,7,124.0,58,23,42,0.548,7,21,0.333,5,7,0.714,8,11,19,4,6,0,3,9,,,,,,,,,,,,,,,,,,,,
85,JUAN NUNEZ,FCB,0.525,0.486,141.3,4.3,24.0,15.0,31.7,26.4,2.7,0.8,18.0,4.2,1.1,105.4,107.6,-2.3,49.6,13.7,127,8,137.5,41,17,36,0.472,1,12,0.083,6,7,0.857,4,27,31,30,7,1,14,20,,,,,,,,,,,,,,,,,,,,
30,JUSTIN ANDERSON,FCB,0.712,0.684,184.9,5.4,13.5,9.8,3.8,8.1,1.3,2.1,17.7,-1.4,1.7,135.0,113.6,21.5,58.5,19.1,47,8,164.0,81,28,49,0.571,11,22,0.5,14,18,0.778,6,18,24,4,4,3,5,9,,,,,,,,,,,,,,,,,,,,
75,KAISER GATES,JOV,0.654,0.605,188.8,7.3,22.2,15.9,3.1,14.4,1.0,1.8,16.4,-3.7,1.4,119.5,105.7,13.8,51.3,14.6,79,6,167.3,62,21,43,0.488,10,25,0.4,10,10,1.0,8,33,41,3,3,3,8,17,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.138,0.4,0.4,0.2,3.0,3.0,0.5,0.3,0.3,0.6
48,KAMAR BALDWIN,BASK,0.474,0.448,141.4,2.0,11.4,6.4,29.5,11.2,2.7,4.0,28.6,4.6,1.0,103.5,112.5,-9.0,19.3,17.6,146,2,62.2,30,12,29,0.414,2,6,0.333,4,6,0.667,1,5,6,10,3,2,4,5,,,,,,,,,,,,,,,,,,,,
33,KAMERON TAYLOR,UNI,0.587,0.574,168.5,2.4,20.6,11.4,15.8,15.4,4.1,2.0,24.0,-1.4,1.2,105.9,100.3,5.5,64.3,18.8,37,8,165.0,84,34,68,0.5,10,23,0.435,6,8,0.75,3,25,28,16,13,3,13,13,,,,,,,,,,,,,,,,,,,,
40,KASSIUS ROBERTSON,JOV,0.626,0.589,171.3,3.6,10.4,7.5,19.6,17.4,1.3,0.0,27.5,-3.0,1.4,112.7,112.9,-0.2,65.9,18.1,5,8,208.7,119,41,84,0.488,17,40,0.425,20,25,0.8,5,19,24,21,5,0,20,12,,,,,,,,,,,,,,,,,,,,
23,KENDRICK PERRY,UNI,0.629,0.577,174.9,0.7,6.7,3.7,30.8,15.8,4.0,0.0,22.8,5.4,1.4,121.6,104.9,16.7,71.8,20.6,20,8,182.4,94,32,65,0.492,11,28,0.393,19,22,0.864,1,9,10,36,14,0,14,18,,,,,,,,,,,,,,,,,,,,
78,KENNY HASBROUCK,FOR,0.6,0.594,153.8,1.8,9.3,5.5,17.8,16.3,1.6,1.7,27.0,-4.1,1.3,103.4,109.0,-5.7,32.8,14.3,48,7,131.4,80,29,64,0.453,18,43,0.419,4,6,0.667,2,10,12,11,4,2,13,21,,,,,,,,,,,,,,,,,,,,
95,KEVIN PUNTER,FCB,0.531,0.434,164.6,0.0,7.3,4.0,14.8,11.2,2.2,0.7,22.5,1.4,1.2,109.1,114.1,-5.0,38.3,13.1,54,8,167.8,76,21,61,0.344,11,32,0.344,23,24,0.958,0,10,10,17,7,1,9,13,,,,,,,,,,,,,,,,,,,,
139,KHALIFA DIOP,BASK,0.59,0.533,115.8,14.0,16.3,15.1,6.2,29.0,0.5,2.7,12.1,-4.8,1.7,108.2,122.3,-14.0,22.0,8.6,150,8,120.0,26,8,15,0.533,0,0,0.0,10,16,0.625,13,15,28,5,1,3,9,22,,,,,,,,,,,,,,,,,,,,
134,KRISTIAN KULLAMAE,BBB,0.437,0.425,117.0,0.8,12.1,6.6,23.7,11.3,1.4,0.7,25.2,2.5,0.9,92.5,114.5,-22.0,27.6,9.6,78,8,151.0,62,25,67,0.373,7,29,0.241,5,9,0.556,1,15,16,19,4,1,9,16,,,,,,,,,,,,,,,,,,,,
88,KYLE KURIC,AND,0.572,0.523,165.8,4.6,6.8,5.7,4.8,14.0,2.1,1.3,22.3,-4.8,1.3,109.4,116.8,-7.3,37.1,13.6,40,8,174.4,84,28,66,0.424,13,37,0.351,15,17,0.882,6,10,16,5,7,2,12,13,,,,,,,,,,,,,,,,,,,,
53,L.J. FIGUEROA,LBC,0.556,0.522,156.6,8.3,20.0,13.9,12.7,10.2,3.0,1.9,21.9,0.0,1.3,114.1,118.2,-4.0,41.5,17.0,84,7,123.2,59,22,46,0.478,4,10,0.4,11,16,0.688,8,18,26,9,7,2,6,21,,,,,,,,,,,,,,,,,,,,
82,LUDDE HAKANSON,MUR,0.494,0.43,154.2,0.0,9.7,4.4,25.9,12.2,3.4,1.1,20.2,5.0,1.1,105.2,103.1,2.1,52.5,13.9,59,8,188.8,71,21,64,0.328,13,40,0.325,16,18,0.889,0,13,13,29,12,2,10,13,,,,,,,,,,,,,,,,,,,,
73,LUKA BOZIC,FOR,0.619,0.5,153.7,5.3,13.4,9.2,17.4,22.5,1.6,0.0,22.8,-4.9,1.7,108.7,111.4,-2.7,44.9,14.9,52,8,156.6,77,21,45,0.467,3,12,0.25,32,39,0.821,7,17,24,15,5,0,18,11,,,,,,,,,,,,,,,,,,,,
26,MARCELINHO HUERTAS,TEN,0.593,0.519,178.5,3.5,13.7,8.6,52.6,28.6,3.0,0.0,32.7,-0.3,1.4,106.1,110.3,-4.3,53.4,19.8,56,6,133.3,74,25,54,0.463,6,16,0.375,18,19,0.947,3,12,15,37,7,0,25,8,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.36,1.5,0.3,0.4,5.0,1.0,0.833,0.2,0.2,0.3
58,MARCIS STEINBERGS,MAN,0.694,0.67,176.6,7.1,12.1,9.6,6.3,13.9,1.0,1.4,16.6,-3.0,1.6,128.8,105.0,23.8,45.6,16.3,63,8,150.0,69,25,44,0.568,9,21,0.429,10,13,0.769,9,16,25,5,3,2,8,17,,,,,,,,,,,,,,,,,,,,
70,MARCO SPISSU,ZAR,0.703,0.652,178.6,3.4,10.0,6.7,20.7,26.7,2.2,0.6,17.5,-1.0,1.7,118.4,117.5,0.9,58.3,15.2,51,8,191.0,77,24,46,0.522,12,29,0.414,17,20,0.85,5,15,20,27,8,1,20,18,,,,,,,,,,,,,,,,,,,,
39,MARIO HEZONJA,RMB,0.68,0.646,186.9,0.8,20.3,12.0,8.3,20.0,2.9,0.0,22.5,-6.5,1.5,114.0,98.9,15.1,65.5,18.1,19,7,190.4,98,33,65,0.508,18,37,0.486,14,16,0.875,1,35,36,9,10,0,18,12,,,,,,,,,,,,,,,,,,,,
