#_x,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_y,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
22,Carlos Alocen,GCN,.481,.450,132.3,3.1,17.1,10.0,32.5,14.9,2.4,0.9,21.9,5.8,1.1,105.2,107.4,-2.2,37.1,14.6,Base (PG),102,7,118.9,44,16,40,.400,4,13,.308,8,13,.615,3,16,19,22,5,1,8,14
23,Tomas Satoransky,FCB,.573,.500,152.8,2.3,19.0,11.4,32.1,23.0,0.8,0.0,19.0,5.1,1.4,113.3,112.0,1.3,44.3,14.3,Base (PG),94,7,129.1,46,16,34,.471,2,10,.200,12,14,.857,2,20,22,28,2,0,12,12
24,Nicolas Laprovittola,FCB,.561,.540,149.1,3.9,10.4,7.6,39.8,22.4,0.7,0.0,21.0,7.3,1.2,113.2,113.7,-0.5,27.3,14.2,Base (PG),134,4,81.2,31,11,25,.440,5,13,.385,4,6,.667,2,7,9,21,1,0,8,8
25,Andrew Albicy,GCN,.670,.672,151.7,1.6,9.7,5.6,21.8,23.8,2.1,0.0,12.9,2.6,1.5,117.3,110.9,6.4,41.6,12.6,Base (PG),107,7,157.9,43,15,29,.517,9,21,.429,4,7,.571,2,12,14,21,6,0,10,10
26,Charlie Moore,BRE,.525,.506,155.2,1.1,5.0,2.9,30.6,18.2,1.9,0.0,24.3,0.5,1.1,98.3,115.4,-17.0,47.3,12.1,Base (PG),7,7,220.8,99,39,89,.438,12,33,.364,9,12,.750,2,8,10,33,8,0,21,17
27,Juan Nunez,FCB,.484,.435,136.0,4.9,23.2,14.9,28.6,26.0,2.6,0.9,17.9,3.2,1.1,100.5,106.1,-5.5,38.9,12.1,Base (PG),130,7,121.0,33,13,31,.419,1,12,.083,6,7,.857,4,23,27,24,6,1,12,17
28,Jonathan Rousselle,GRA,.391,.308,126.3,3.7,12.6,7.7,46.4,11.8,2.5,0.0,18.1,12.3,0.9,104.5,109.4,-4.9,34.1,11.3,Base (PG),121,7,128.8,35,10,39,.256,4,25,.160,11,13,.846,4,11,15,33,6,0,6,24
29,Ingus Jakovics,LBC,.523,.477,152.2,2.0,9.0,5.3,28.9,21.4,2.6,0.0,22.8,1.4,1.2,101.0,122.1,-21.1,28.1,11.0,Base (PG),87,7,121.0,50,15,43,.349,11,31,.355,9,11,.818,2,8,10,22,6,0,13,17
30,Rafael Villar,FOR,.519,.409,137.6,0.9,5.3,3.0,33.8,28.3,4.5,0.8,18.1,1.4,1.3,97.2,106.7,-9.5,30.9,10.9,Base (PG),108,7,137.6,42,13,33,.394,1,10,.100,15,17,.882,1,6,7,27,12,1,16,19
31,Ike Iroegbu,SJG,.470,.343,134.9,2.5,12.7,7.4,21.0,15.2,1.1,0.5,25.2,-1.3,1.2,95.0,114.7,-19.7,33.3,10.2,Base (PG),20,7,197.1,84,21,70,.300,6,26,.231,36,44,.818,4,19,23,20,4,1,16,18
32,Brancou Badio,VAL,.436,.338,129.4,3.7,10.5,6.7,20.1,13.0,1.5,1.0,17.6,3.7,1.0,109.5,110.2,-0.8,23.0,10.0,Base (PG),125,5,109.1,35,10,34,.294,3,21,.143,12,14,.857,4,9,13,15,3,1,6,10
33,Jordan Davis,BRE,.428,.421,129.5,3.9,17.1,10.0,17.7,18.5,4.7,0.0,25.0,-4.0,0.9,79.9,108.6,-28.7,17.3,9.7,Base (PG),126,6,91.0,34,15,38,.395,2,5,.400,2,4,.500,3,11,14,8,8,0,9,10
34,Retin Obasohan,MAN,.435,.363,129.0,5.7,6.9,6.3,18.2,12.8,2.5,0.0,25.6,-1.1,1.0,96.7,101.0,-4.4,19.4,9.3,Base (PG),49,7,143.4,65,20,62,.323,5,18,.278,20,29,.690,7,9,16,14,7,0,11,24
35,Corey Walden,FOR,.431,.328,120.4,5.3,9.1,7.2,16.0,9.2,2.7,0.8,14.4,3.3,1.1,104.4,109.3,-4.9,25.1,9.1,Base (PG),129,7,134.5,34,9,32,.281,3,19,.158,13,17,.765,6,10,16,13,7,1,4,18
36,Guillem Vives,JOV,.453,.474,76.8,4.3,17.4,11.8,18.3,35.6,3.3,1.8,15.1,-3.7,0.9,77.5,105.0,-27.5,19.5,6.5,Base (PG),155,6,103.1,18,7,19,.368,4,10,.400,0,2,.000,3,16,19,11,6,2,11,13
37,Joaquin Rodriguez,ZAR,.389,.389,58.3,4.2,8.0,6.2,19.0,20.6,2.7,0.0,16.1,1.7,0.8,90.6,113.5,-22.9,12.3,5.7,Base (PG),151,6,94.6,21,9,27,.333,3,12,.250,0,0,.000,3,6,9,13,5,0,7,14
38,Dani Perez,MAN,.308,.276,106.2,2.6,10.6,6.7,39.8,24.2,1.1,0.0,17.1,6.4,0.7,83.4,102.4,-19.0,19.5,3.7,Base (PG),145,7,134.5,25,8,38,.211,5,27,.185,4,6,.667,3,13,16,33,3,0,13,21
39,Dee Bost,FOR,.390,.357,134.9,0.0,10.4,5.0,24.1,24.4,1.8,0.0,25.5,-5.3,0.8,73.0,114.0,-41.0,2.1,1.1,Base (PG),141,4,84.8,29,9,35,.257,7,24,.292,4,5,.800,0,7,7,11,3,0,12,12
1,Dylan Ennis,MUR,.666,.661,159.7,3.6,6.8,5.0,22.5,9.3,3.6,1.6,25.7,2.1,1.5,128.4,105.4,23.0,86.1,26.1,Escolta (SG),2,7,194.8,130,44,84,.524,23,50,.460,19,31,.613,6,9,15,21,13,3,10,18
2,Dzanan Musa,RMB,.674,.578,165.3,8.0,16.4,12.7,10.0,12.2,1.8,0.0,26.1,-3.1,1.8,132.6,107.4,25.2,37.9,24.5,Escolta (SG),72,5,89.4,58,16,32,.500,5,16,.313,21,25,.840,5,13,18,5,3,0,6,7
3,Trae Bell-Haynes,ZAR,.638,.589,179.3,4.2,6.9,5.6,34.9,17.0,2.0,0.8,27.0,3.3,1.4,125.3,115.3,10.0,54.9,23.2,Escolta (SG),25,6,128.3,81,30,56,.536,6,16,.375,15,17,.882,4,7,11,26,5,1,13,12
4,Trent Forrest,BASK,.630,.585,180.4,3.8,17.8,10.8,19.2,15.8,3.5,0.0,23.1,-1.2,1.4,121.2,119.1,2.1,54.6,21.6,Escolta (SG),35,5,136.8,74,29,53,.547,4,12,.333,12,13,.923,4,19,23,14,9,0,11,10
5,Mario Hezonja,RMB,.700,.664,190.7,0.9,18.7,11.1,7.6,17.7,3.0,0.0,23.1,-5.8,1.6,119.9,99.2,20.7,60.5,20.4,Escolta (SG),13,6,164.2,91,30,58,.517,17,33,.515,14,16,.875,1,28,29,7,9,0,14,10
6,Chima Moneke,BASK,.647,.578,170.3,6.6,12.9,9.7,16.3,12.6,1.1,0.6,21.0,0.9,1.7,131.8,123.6,8.2,69.0,20.1,Escolta (SG),8,7,194.2,99,28,58,.483,11,24,.458,32,42,.762,10,19,29,19,4,1,11,16
7,David Kramer,TEN,.639,.581,168.2,4.0,13.3,8.7,9.3,7.4,1.5,0.0,24.0,0.0,1.5,130.3,113.9,16.4,34.8,19.5,Escolta (SG),57,6,113.8,64,18,43,.419,14,36,.389,14,16,.875,3,10,13,6,3,0,4,13
8,Caleb Homesley,GCN,.545,.477,147.0,1.8,13.9,7.8,16.8,10.2,1.6,0.8,31.1,-0.8,1.3,110.0,110.1,-0.1,39.0,18.2,Escolta (SG),18,7,136.9,86,25,64,.391,11,32,.344,25,34,.735,2,15,17,12,4,1,9,15
9,Kameron Taylor,UNI,.575,.567,154.8,2.7,22.1,12.0,13.7,16.1,4.0,0.8,23.9,-2.7,1.2,103.0,100.7,2.3,51.5,17.6,Escolta (SG),41,7,146.1,72,30,60,.500,8,21,.381,4,6,.667,3,23,26,12,11,1,12,11
10,Nike Sibande,SJG,.617,.582,168.3,6.1,17.8,11.8,8.4,10.0,2.0,0.0,17.5,-1.2,1.4,120.3,111.6,8.6,52.8,16.9,Escolta (SG),46,7,162.3,67,24,49,.490,9,25,.360,10,12,.833,8,22,30,6,6,0,6,7
11,Josep Puerto,VAL,.571,.571,128.6,6.4,14.6,10.0,8.6,9.2,2.7,0.0,17.4,-0.4,1.2,122.8,106.6,16.2,24.3,16.3,Escolta (SG),128,5,77.6,34,14,28,.500,4,14,.286,2,4,.500,5,9,14,4,4,0,3,8
12,Toni Nakic,BRE,.642,.607,172.6,7.4,10.9,8.9,8.7,7.5,1.4,0.0,15.7,0.4,1.5,129.9,118.0,11.8,45.5,15.9,Escolta (SG),62,6,155.4,63,20,42,.476,11,22,.500,12,16,.750,10,12,22,7,4,0,4,12
13,Dario Brizuela,FCB,.643,.615,187.2,1.3,10.6,6.3,21.2,19.5,2.7,0.0,20.8,0.0,1.4,113.9,113.6,0.2,33.9,15.7,Escolta (SG),81,6,116.3,53,21,39,.538,6,18,.333,5,5,1.000,1,10,11,15,6,0,10,15
14,Cameron Hunt,MAN,.574,.545,159.2,3.4,7.8,5.7,22.7,16.8,2.7,1.2,22.5,-1.3,1.3,110.7,99.8,10.9,47.3,15.5,Escolta (SG),19,7,169.2,85,31,67,.463,11,29,.379,12,16,.750,5,12,17,19,9,2,15,21
15,Joe Thomasson,GCN,.582,.511,160.4,3.4,16.7,9.9,16.2,15.2,1.5,0.0,22.0,-1.0,1.4,112.2,109.9,2.3,39.5,15.4,Escolta (SG),56,7,145.2,65,22,47,.468,4,14,.286,17,20,.850,4,19,23,13,4,0,10,16
16,Shannon Evans,AND,.535,.440,167.3,0.0,12.2,6.8,30.5,21.6,3.2,0.0,25.7,1.0,1.2,107.4,114.0,-6.6,19.6,14.9,Escolta (SG),137,3,63.9,31,8,25,.320,6,17,.353,9,9,1.000,0,7,7,13,4,0,8,7
17,Kyle Kuric,AND,.599,.554,171.3,5.5,6.2,5.8,4.5,16.1,2.1,1.5,23.0,-6.1,1.3,110.0,115.3,-5.2,32.9,14.5,Escolta (SG),34,7,149.5,75,25,56,.446,12,30,.400,13,15,.867,6,8,14,4,6,2,12,13
18,A.J. Slaughter,ZAR,.547,.547,83.8,5.2,1.0,3.0,14.1,12.3,1.6,0.0,25.3,-1.3,1.1,110.0,118.7,-8.8,30.3,14.2,Escolta (SG),43,6,129.7,70,28,64,.438,14,35,.400,0,0,.000,5,1,6,11,4,0,9,7
19,Muhammad-Ali Abdur-Rahkman,BBB,.519,.479,148.6,1.6,6.6,4.2,12.1,8.1,2.6,1.3,25.5,-0.2,1.2,105.1,111.0,-5.9,33.5,14.1,Escolta (SG),22,7,162.2,83,29,72,.403,11,36,.306,14,18,.778,2,9,11,10,8,2,7,21
20,Nihad Djedovic,UNI,.589,.521,150.0,2.7,11.8,7.1,11.8,14.4,2.2,0.0,16.7,0.3,1.5,114.9,107.0,7.8,26.1,13.4,Escolta (SG),123,6,95.3,35,11,24,.458,3,11,.273,10,13,.769,2,8,10,8,4,0,5,2
