#_pos,Jugador,Equipo,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Posición,#_totales,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS
2,"Derrick Alston, Jr.",MAN,.589,.467,155.2,5.7,14.8,10.4,14.1,12.2,3.0,1.0,27.5,-2.8,1.5,121.6,99.8,21.9,81.5,22.2,Alero (SF),3,8,206.0,136,37,90,.411,10,41,.244,52,58,.897,10,27,37,15,12,2,16,17,25,0,0,0,0,0,0,0,23,0,.233,0.9,0.8,0.6,4,4,.500,0.8,0.6,1.3
19,Devon Dotson,JOV,.513,.458,132.7,1.4,7.6,5.0,29.7,16.9,3.5,0.5,24.0,3.2,1.2,105.7,109.2,-3.6,57.4,15.0,Base (PG),34,8,210.0,86,31,71,.437,3,18,.167,21,29,.724,2,14,16,35,13,1,17,18,12,0,0,0,0,0,1,0,18,0,.282,2.1,0.8,0.4,4,4,.500,0.1,0.3,0.4
11,Donta Hall,BASK,.746,.710,145.0,9.1,21.1,15.1,5.2,17.3,0.9,5.3,13.2,-2.7,2.1,135.8,117.8,18.0,67.6,18.0,Pívot (C),73,7,183.0,64,22,31,.710,0,0,.000,20,27,.741,13,30,43,6,3,9,9,15,103,0,0,0,0,0,0,0,27,0,.131,0.7,0.3,0.9,3,4,.429,0.6,0.0,0.6
18,Dragan Apic,BRE,.617,.588,128.1,4.2,15.4,9.4,10.1,15.0,2.7,0.9,15.8,-1.7,1.4,112.2,109.6,2.6,35.6,14.2,Pívot (C),109,8,137.1,49,20,34,.588,0,0,.000,9,13,.692,5,16,21,7,7,1,7,16,105,0,0,0,0,0,0,0,9,0,.130,1.0,1.0,0.4,2,6,.250,0.2,0.2,0.3
1,Dylan Ennis,MUR,.652,.638,157.9,3.1,7.0,4.9,23.3,8.4,3.2,1.9,25.0,3.0,1.5,127.5,103.5,24.0,94.5,24.7,Escolta (SG),2,8,221.0,142,48,94,.511,24,57,.421,22,34,.647,6,11,17,25,13,4,10,21,6,0,0,0,0,0,0,0,26,0,.315,2.5,1.3,0.4,5,3,.625,1.0,0.5,1.5
15,Dylan Osetkowski,UNI,.490,.452,148.7,10.4,26.2,18.2,6.6,8.2,3.0,0.8,24.5,-1.4,1.1,103.9,102.0,1.8,46.8,15.8,Ala-Pívot (PF),67,8,140.5,66,24,62,.387,8,30,.267,10,12,.833,11,27,38,6,8,1,6,17,124,0,0,0,0,0,0,0,14,0,.113,1.0,1.3,0.2,7,1,.875,0.0,0.3,0.4
2,Dzanan Musa,RMB,.674,.578,165.3,8.0,16.4,12.7,10.0,12.2,1.8,0.0,26.1,-3.1,1.8,132.6,107.4,25.2,37.9,24.5,Escolta (SG),88,5,89.4,58,16,32,.500,5,16,.313,21,25,.840,5,13,18,5,3,0,6,7,93,0,0,0,0,0,0,0,18,0,.142,0.8,0.5,0.8,3,2,.600,0.5,0.1,0.6
15,Edgar Vicedo,GRA,.511,.457,130.9,5.1,22.0,12.7,5.1,8.7,2.3,1.5,15.2,-0.9,1.2,106.1,107.1,-0.9,32.5,11.1,Alero (SF),122,8,140.7,43,13,35,.371,6,24,.250,11,16,.688,6,21,27,4,6,2,4,16,146,0,0,0,0,0,0,0,11,0,.082,1.0,1.5,0.5,2,6,.250,0.1,0.2,0.3
32,Edin Atic,BRE,.397,.397,55.3,4.3,22.4,12.7,15.3,22.7,2.0,3.0,12.9,-0.4,0.8,80.7,108.3,-27.6,32.8,7.0,Ala-Pívot (PF),149,8,159.2,27,12,34,.353,3,15,.200,0,0,.000,6,27,33,14,6,4,10,18,109,0,0,0,0,0,0,0,7,0,.125,1.4,0.6,0.0,2,6,.250,-0.3,0.2,-0.1
18,Edo Muric,FOR,.600,.594,147.9,5.4,12.1,8.7,5.5,10.6,2.1,0.0,19.4,-2.6,1.3,112.1,110.7,1.4,44.8,13.7,Ala-Pívot (PF),46,8,174.1,81,28,64,.438,20,48,.417,5,8,.625,8,17,25,5,7,0,8,20,85,0,0,0,0,0,0,0,23,0,.149,0.6,0.9,0.1,3,5,.375,0.2,0.2,0.4
12,Edy Tavares,RMB,.588,.580,118.0,15.2,18.6,17.1,7.9,18.1,1.5,6.5,18.1,-3.9,1.3,113.9,102.3,11.6,64.0,17.6,Pívot (C),72,8,176.4,64,29,50,.580,0,0,.000,6,10,.600,18,29,47,8,5,11,12,21,79,0,0,0,0,0,0,0,14,0,.155,0.7,0.4,0.2,6,2,.750,0.3,0.4,0.7
19,Eli John N'Diaye,RMB,.646,.620,190.5,10.7,18.9,15.4,1.3,18.6,3.1,1.7,12.4,-4.4,1.4,118.6,100.6,18.0,35.4,13.6,Ala-Pívot (PF),138,8,125.0,34,13,25,.520,5,13,.385,3,3,1.000,9,21,30,1,7,2,6,15,155,0,0,0,0,0,0,0,10,0,.059,0.2,1.2,0.1,6,2,.750,0.2,0.3,0.5
13,Elias Valtonen,GRA,.615,.612,157.0,5.1,13.2,8.8,5.9,7.2,2.6,1.3,15.5,-0.4,1.3,119.6,107.2,12.4,43.6,14.4,Escolta (SG),76,7,166.3,63,24,49,.490,12,25,.480,3,5,.600,7,15,22,5,8,2,4,20,76,0,0,0,0,0,0,0,13,0,.158,1.3,2.0,0.1,2,5,.286,0.3,0.3,0.6
7,Emanuel Cate,MAN,.660,.588,151.7,21.1,19.3,20.1,4.3,21.5,1.2,0.8,17.1,-6.7,1.6,120.5,101.9,18.6,51.8,18.4,Ala-Pívot (PF),98,8,129.1,53,20,34,.588,0,1,.000,13,14,.929,23,22,45,3,3,1,11,12,133,1,0,0,0,0,0,0,10,0,.103,0.3,0.3,0.4,4,4,.500,0.3,0.3,0.6
10,Emir Sulejmanovic,ZAR,.585,.567,168.1,7.6,26.2,16.6,1.3,9.8,2.8,0.8,20.7,-3.9,1.3,115.9,114.0,1.9,46.5,17.6,Ala-Pívot (PF),68,5,132.3,65,25,52,.481,9,20,.450,6,8,.750,8,26,34,1,7,1,6,14,77,1,0,0,0,0,0,0,23,0,.158,0.2,1.2,0.2,2,3,.400,0.3,0.1,0.3
30,Eric Vila,BRE,.483,.469,131.0,7.0,15.2,10.8,7.8,13.1,1.8,1.6,19.2,-2.7,1.1,94.5,111.3,-16.8,29.6,10.2,Ala-Pívot (PF),104,8,147.0,51,19,48,.396,7,19,.368,6,11,.545,9,17,26,6,5,2,8,16,113,0,0,0,0,0,0,0,12,0,.120,0.8,0.6,0.2,2,6,.250,-0.1,0.2,0.0
1,Facundo Campazzo,RMB,.792,.730,194.3,2.4,12.6,8.2,37.7,23.2,3.8,0.0,22.0,4.0,2.1,139.2,102.8,36.4,97.4,27.4,Base (PG),15,8,188.4,105,31,50,.620,11,24,.458,32,37,.865,3,21,24,41,13,0,20,18,9,0,0,0,0,0,0,0,21,0,.303,2.1,0.7,0.7,6,2,.750,1.2,0.4,1.6
8,Ferran Bassas,AND,.728,.714,179.0,0.0,4.2,2.4,37.7,23.0,1.3,0.0,22.9,3.7,1.6,127.6,120.5,7.1,29.9,19.6,Base (PG),119,5,78.8,44,15,28,.536,10,22,.455,4,5,.800,0,3,3,18,2,0,9,9,35,0,0,0,0,0,0,0,21,0,.208,2.0,0.2,0.2,3,2,.600,0.4,0.0,0.3
1,Fran Guerra,TEN,.673,.630,137.2,14.9,20.7,17.8,18.7,10.6,0.8,3.1,26.2,0.5,1.7,135.6,112.3,23.3,70.9,27.9,Pívot (C),26,7,144.1,91,34,54,.630,0,3,.000,23,31,.742,14,20,34,13,2,4,8,16,24,0,0,0,0,0,0,0,24,0,.234,1.6,0.3,0.6,6,1,.857,0.9,0.1,1.0
22,Gabriel Deck,RMB,.616,.556,155.7,2.3,13.9,8.9,4.1,12.5,0.8,0.5,15.8,-2.5,1.5,118.5,108.7,9.8,40.4,12.1,Ala-Pívot (PF),62,8,194.2,69,23,45,.511,4,14,.286,19,25,.760,3,24,27,5,3,1,8,15,118,0,0,0,0,0,0,0,23,0,.118,0.6,0.4,0.6,6,2,.750,0.3,0.3,0.6
9,George Conditt IV,GCN,.591,.622,97.9,12.7,18.4,15.4,4.1,15.6,2.0,7.6,18.3,-4.6,1.4,109.2,104.6,4.6,47.8,17.8,Ala-Pívot (PF),108,8,136.3,51,23,37,.622,0,1,.000,5,14,.357,14,19,33,3,5,9,8,15,122,0,0,0,0,0,0,0,14,0,.114,0.4,0.6,0.4,5,3,.625,0.1,0.3,0.4
29,Gian Clavell,GRA,.477,.423,142.1,2.0,15.0,7.9,12.5,12.9,1.8,0.6,26.6,-3.2,1.1,92.5,109.9,-17.5,28.4,9.8,Escolta (SG),39,8,177.3,84,27,78,.346,12,41,.293,18,23,.783,3,18,21,11,6,1,13,20,57,0,0,0,0,0,0,0,25,0,.183,0.8,0.5,0.3,2,6,.250,-0.3,0.2,-0.1
6,Giorgi Shermadini,TEN,.755,.694,155.8,10.3,13.8,12.1,9.9,16.5,1.9,1.0,22.9,-4.5,1.9,134.0,112.7,21.3,45.5,24.0,Pívot (C),61,7,119.0,69,25,36,.694,0,0,.000,19,22,.864,8,11,19,6,4,1,9,13,81,0,0,0,0,0,0,0,19,0,.154,0.7,0.4,0.6,6,1,.857,0.6,0.1,0.7
16,Guillem Ferrando,SJG,.561,.500,167.3,2.2,9.4,5.7,42.8,22.5,2.4,0.0,26.6,0.6,1.3,103.7,114.0,-10.3,33.3,15.4,Base (PG),94,7,110.5,54,16,42,.381,10,23,.435,12,14,.857,2,8,10,22,5,0,14,10,29,0,0,0,0,0,0,0,17,0,.220,1.6,0.4,0.3,2,5,.286,0.0,0.1,0.1
35,Guillem Vives,JOV,.514,.522,115.3,3.7,14.7,10.0,19.7,31.1,2.8,1.5,14.5,-0.9,1.1,91.2,107.7,-16.5,26.1,8.4,Base (PG),152,7,122.3,25,9,23,.391,6,14,.429,1,3,.333,3,16,19,15,6,2,11,15,115,0,0,0,0,0,0,0,9,0,.119,1.4,0.5,0.1,3,4,.429,-0.1,0.2,0.1
5,Harald Frey,BBB,.741,.689,187.6,0.9,9.0,5.0,26.4,13.8,1.4,0.0,20.6,3.4,1.8,138.2,115.7,22.5,52.6,20.9,Base (PG),42,8,149.7,83,25,45,.556,12,25,.480,21,25,.840,1,11,12,21,4,0,9,25,42,0,0,0,0,0,0,0,18,0,.200,2.3,0.4,0.6,3,5,.375,0.8,0.1,0.9
21,Howard Sant-Roos,MUR,.383,.314,125.5,2.9,15.4,8.6,14.8,15.7,3.4,0.7,16.6,0.6,0.9,84.6,99.9,-15.3,30.8,8.0,Alero (SF),135,7,159.7,37,12,43,.279,3,21,.143,10,12,.833,4,18,22,15,10,1,9,8,102,0,0,0,0,0,0,0,13,0,.132,1.7,1.1,0.3,5,2,.714,-0.3,0.4,0.1
27,Ike Iroegbu,SJG,.519,.406,147.4,2.3,13.9,8.0,19.9,16.5,1.0,0.5,25.6,-2.4,1.3,100.3,115.8,-15.5,45.5,12.0,Base (PG),14,8,224.6,105,28,80,.350,9,31,.290,40,48,.833,4,24,28,22,4,1,20,21,21,0,0,0,0,0,0,0,21,0,.250,1.1,0.2,0.6,2,6,.250,-0.1,0.1,0.1
32,Ingus Jakovics,LBC,.538,.500,154.7,1.8,8.0,4.8,28.1,21.5,2.4,0.0,23.4,0.2,1.2,100.6,121.8,-21.1,29.9,10.8,Base (PG),82,8,135.6,59,18,50,.360,14,38,.368,9,11,.818,2,8,10,23,6,0,15,19,63,0,0,0,0,0,0,0,18,0,.174,1.5,0.4,0.2,2,6,.250,0.0,-0.1,-0.1
8,Jabari Parker,FCB,.692,.690,174.0,1.6,17.0,10.0,8.5,11.9,2.0,2.4,18.9,-1.2,1.5,122.5,110.7,11.8,67.3,18.1,Ala-Pívot (PF),23,8,187.4,92,34,63,.540,19,33,.576,5,8,.625,2,26,28,10,7,4,9,16,70,0,0,0,0,0,0,0,19,0,.170,1.1,0.8,0.1,5,3,.625,0.5,0.2,0.7
17,Jaime Pradilla,VAL,.535,.500,140.6,7.3,30.7,18.0,10.7,14.0,2.0,1.9,13.1,0.6,1.2,118.9,104.2,14.7,62.1,15.1,Pívot (C),116,7,158.8,46,18,39,.462,3,18,.167,7,9,.778,11,39,50,12,6,3,7,11,104,0,0,0,0,0,0,0,11,0,.131,1.7,0.9,0.2,5,2,.714,0.3,0.3,0.6
23,Jake Wiley,GRA,.521,.478,129.6,8.4,16.5,12.1,9.9,19.1,0.7,3.8,20.5,-5.1,1.2,95.2,110.0,-14.8,30.4,10.9,Pívot (C),95,8,143.3,53,22,46,.478,0,2,.000,9,11,.818,10,16,26,7,2,5,12,16,94,0,0,0,0,0,0,0,17,0,.139,0.6,0.2,0.2,2,6,.250,-0.1,0.2,0.1
14,James Nnaji,SJG,.667,.720,120.0,10.1,19.3,14.6,0.0,18.2,2.8,5.5,15.5,-6.0,1.9,113.5,107.3,6.2,43.9,17.1,Pívot (C),112,7,134.6,48,18,25,.720,0,0,.000,12,25,.480,11,20,31,0,7,7,8,16,132,1,0,0,0,0,0,0,15,0,.104,0.0,0.9,1.0,2,5,.286,0.2,0.2,0.4
2,Jan Vesely,FCB,.764,.685,193.8,10.2,15.3,13.0,15.0,15.0,1.1,0.0,20.7,0.0,1.9,142.1,118.4,23.7,35.5,21.9,Ala-Pívot (PF),100,6,92.3,52,18,27,.667,1,3,.333,15,16,.938,6,11,17,9,2,0,6,19,101,1,0,0,0,0,0,0,14,0,.132,1.5,0.3,0.6,4,2,.667,0.5,0.0,0.6
